Município;Município Maiúsculas;CD_GEOCODM
Santana da Ponte Pensa;SANTANA DA PONTE PENSA;3547205
Santana de Parnaíba;SANTANA DE PARNAÍBA;3547304
Santo Anastácio;SANTO ANASTÁCIO;3547700
Santo André;SANTO ANDRÉ;3547809
Santo Antônio da Alegria;SANTO ANTÔNIO DA ALEGRIA;3547908
Santo Antônio de Posse;SANTO ANTÔNIO DE POSSE;3548005
Santo Antônio do Aracanguá;SANTO ANTÔNIO DO ARACANGUÁ;3548054
Santo Antônio do Jardim;SANTO ANTÔNIO DO JARDIM;3548104
Santo Antônio do Pinhal;SANTO ANTÔNIO DO PINHAL;3548203
Santo Expedito;SANTO EXPEDITO;3548302
Santópolis do Aguapeí;SANTÓPOLIS DO AGUAPEÍ;3548401
Santos;SANTOS;3548500
São Bento do Sapucaí;SÃO BENTO DO SAPUCAÍ;3548609
São Bernardo do Campo;SÃO BERNARDO DO CAMPO;3548708
São Caetano do Sul;SÃO CAETANO DO SUL;3548807
São Carlos;SÃO CARLOS;3548906
São Francisco;SÃO FRANCISCO;3549003
São João da Boa Vista;SÃO JOÃO DA BOA VISTA;3549102
São João das Duas Pontes;SÃO JOÃO DAS DUAS PONTES;3549201
São João de Iracema;SÃO JOÃO DE IRACEMA;3549250
São João do Pau D'Alho;SÃO JOÃO DO PAU D'ALHO;3549300
São Joaquim da Barra;SÃO JOAQUIM DA BARRA;3549409
São José da Bela Vista;SÃO JOSÉ DA BELA VISTA;3549508
São José do Barreiro;SÃO JOSÉ DO BARREIRO;3549607
São José do Rio Pardo;SÃO JOSÉ DO RIO PARDO;3549706
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;3549805
São José dos Campos;SÃO JOSÉ DOS CAMPOS;3549904
São Lourenço da Serra;SÃO LOURENÇO DA SERRA;3549953
São Luís do Paraitinga;SÃO LUÍS DO PARAITINGA;3550001
São Manuel;SÃO MANUEL;3550100
São Miguel Arcanjo;SÃO MIGUEL ARCANJO;3550209
São Paulo;SÃO PAULO;3550308
São Pedro;SÃO PEDRO;3550407
São Pedro do Turvo;SÃO PEDRO DO TURVO;3550506
São Roque;SÃO ROQUE;3550605
São Sebastião;SÃO SEBASTIÃO;3550704
São Sebastião da Grama;SÃO SEBASTIÃO DA GRAMA;3550803
São Simão;SÃO SIMÃO;3550902
São Vicente;SÃO VICENTE;3551009
Sarapuí;SARAPUÍ;3551108
Sarutaiá;SARUTAIÁ;3551207
Sebastianópolis do Sul;SEBASTIANÓPOLIS DO SUL;3551306
Serra Azul;SERRA AZUL;3551405
Serra Negra;SERRA NEGRA;3551603
Serrana;SERRANA;3551504
Sertãozinho;SERTÃOZINHO;3551702
Sete Barras;SETE BARRAS;3551801
Severínia;SEVERÍNIA;3551900
Silveiras;SILVEIRAS;3552007
Socorro;SOCORRO;3552106
Sorocaba;SOROCABA;3552205
Sud Mennucci;SUD MENNUCCI;3552304
Sumaré;SUMARÉ;3552403
Suzanápolis;SUZANÁPOLIS;3552551
Suzano;SUZANO;3552502
Tabapuã;TABAPUÃ;3552601
Tabatinga;TABATINGA;3552700
Taboão da Serra;TABOÃO DA SERRA;3552809
Taciba;TACIBA;3552908
Taguaí;TAGUAÍ;3553005
Taiaçu;TAIAÇU;3553104
Taiúva;TAIÚVA;3553203
Tambaú;TAMBAÚ;3553302
Tanabi;TANABI;3553401
Tapiraí;TAPIRAÍ;3553500
Tapiratiba;TAPIRATIBA;3553609
Taquaral;TAQUARAL;3553658
Taquaritinga;TAQUARITINGA;3553708
Taquarituba;TAQUARITUBA;3553807
Taquarivaí;TAQUARIVAÍ;3553856
Tarabai;TARABAI;3553906
Tarumã;TARUMÃ;3553955
Tatuí;TATUÍ;3554003
Taubaté;TAUBATÉ;3554102
Tejupá;TEJUPÁ;3554201
Teodoro Sampaio;TEODORO SAMPAIO;3554300
Terra Roxa;TERRA ROXA;3554409
Tietê;TIETÊ;3554508
Timburi;TIMBURI;3554607
Torre de Pedra;TORRE DE PEDRA;3554656
Torrinha;TORRINHA;3554706
Trabiju;TRABIJU;3554755
Tremembé;TREMEMBÉ;3554805
Três Fronteiras;TRÊS FRONTEIRAS;3554904
Tuiuti;TUIUTI;3554953
Tupã;TUPÃ;3555000
Tupi Paulista;TUPI PAULISTA;3555109
Turiúba;TURIÚBA;3555208
Turmalina;TURMALINA;3555307
Ubarana;UBARANA;3555356
Ubatuba;UBATUBA;3555406
Ubirajara;UBIRAJARA;3555505
Uchoa;UCHOA;3555604
União Paulista;UNIÃO PAULISTA;3555703
Urânia;URÂNIA;3555802
Uru;URU;3555901
Urupês;URUPÊS;3556008
Valentim Gentil;VALENTIM GENTIL;3556107
Valinhos;VALINHOS;3556206
Valparaíso;VALPARAÍSO;3556305
Vargem;VARGEM;3556354
Vargem Grande do Sul;VARGEM GRANDE DO SUL;3556404
Vargem Grande Paulista;VARGEM GRANDE PAULISTA;3556453
Várzea Paulista;VÁRZEA PAULISTA;3556503
Vera Cruz;VERA CRUZ;3556602
Vinhedo;VINHEDO;3556701
Viradouro;VIRADOURO;3556800
Vista Alegre do Alto;VISTA ALEGRE DO ALTO;3556909
Vitória Brasil;VITÓRIA BRASIL;3556958
Votorantim;VOTORANTIM;3557006
Votuporanga;VOTUPORANGA;3557105
Zacarias;ZACARIAS;3557154
