CD_GEOCODM;NM_MUNICIP;NM_MICRO;NM_MESO
3544301;ROSEIRA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA
3544400;RUBIÁCEA;ARAÇATUBA;ARAÇATUBA
3544509;RUBINÉIA;JALES;SÃO JOSÉ DO RIO PRETO
3544608;SABINO;LINS;BAURU
3544707;SAGRES;ADAMANTINA;PRESIDENTE PRUDENTE
3544806;SALES;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3544905;SALES OLIVEIRA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3545001;SALESÓPOLIS;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3545100;SALMOURÃO;ADAMANTINA;PRESIDENTE PRUDENTE
3545159;SALTINHO;PIRACICABA;PIRACICABA
3545209;SALTO;SOROCABA;MACRO METROPOLITANA PAULISTA
3545308;SALTO DE PIRAPORA;SOROCABA;MACRO METROPOLITANA PAULISTA
3545407;SALTO GRANDE;OURINHOS;ASSIS
3545506;SANDOVALINA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3545605;SANTA ADÉLIA;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3545704;SANTA ALBERTINA;JALES;SÃO JOSÉ DO RIO PRETO
3545803;SANTA BÁRBARA D'OESTE;CAMPINAS;CAMPINAS
3546009;SANTA BRANCA;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3546108;SANTA CLARA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO
3546306;SANTA CRUZ DAS PALMEIRAS;PIRAÇUNUNGA;CAMPINAS
3546405;SANTA CRUZ DO RIO PARDO;OURINHOS;ASSIS
3546603;SANTA FÉ DO SUL;JALES;SÃO JOSÉ DO RIO PRETO
3546702;SANTA GERTRUDES;LIMEIRA;PIRACICABA
3547809;SANTO ANDRÉ;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3546207;SANTA CRUZ DA CONCEIÇÃO;LIMEIRA;PIRACICABA
3546256;SANTA CRUZ DA ESPERANÇA;BATATAIS;RIBEIRÃO PRETO
3546504;SANTA ERNESTINA;JABOTICABAL;RIBEIRÃO PRETO
3546801;SANTA ISABEL;GUARULHOS;METROPOLITANA DE SÃO PAULO
3546900;SANTA LÚCIA;ARARAQUARA;ARARAQUARA
3547007;SANTA MARIA DA SERRA;PIRACICABA;PIRACICABA
3547106;SANTA MERCEDES;DRACENA;PRESIDENTE PRUDENTE
3547205;SANTANA DA PONTE PENSA;JALES;SÃO JOSÉ DO RIO PRETO
3547304;SANTANA DE PARNAÍBA;OSASCO;METROPOLITANA DE SÃO PAULO
3547403;SANTA RITA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO
3547502;SANTA RITA DO PASSA QUATRO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3547601;SANTA ROSA DE VITERBO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3547650;SANTA SALETE;JALES;SÃO JOSÉ DO RIO PRETO
3547700;SANTO ANASTÁCIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3547908;SANTO ANTÔNIO DA ALEGRIA;BATATAIS;RIBEIRÃO PRETO
3548005;SANTO ANTÔNIO DE POSSE;MOGI MIRIM;CAMPINAS
3548054;SANTO ANTÔNIO DO ARACANGUÁ;ARAÇATUBA;ARAÇATUBA
3548104;SANTO ANTÔNIO DO JARDIM;SÃO JOÃO DA BOA VISTA;CAMPINAS
3548203;SANTO ANTÔNIO DO PINHAL;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA
3548302;SANTO EXPEDITO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3548401;SANTÓPOLIS DO AGUAPEÍ;BIRIGUI;ARAÇATUBA
3548500;SANTOS;SANTOS;METROPOLITANA DE SÃO PAULO
3548708;SÃO BERNARDO DO CAMPO;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3549706;SÃO JOSÉ DO RIO PARDO;SÃO JOÃO DA BOA VISTA;CAMPINAS
3549805;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3548609;SÃO BENTO DO SAPUCAÍ;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA
3548807;SÃO CAETANO DO SUL;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3548906;SÃO CARLOS;SÃO CARLOS;ARARAQUARA
3549003;SÃO FRANCISCO;JALES;SÃO JOSÉ DO RIO PRETO
3549102;SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;CAMPINAS
3549201;SÃO JOÃO DAS DUAS PONTES;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3549250;SÃO JOÃO DE IRACEMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO
3549300;SÃO JOÃO DO PAU D'ALHO;DRACENA;PRESIDENTE PRUDENTE
3549409;SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO
3549508;SÃO JOSÉ DA BELA VISTA;FRANCA;RIBEIRÃO PRETO
3549607;SÃO JOSÉ DO BARREIRO;BANANAL;VALE DO PARAÍBA PAULISTA
3549904;SÃO JOSÉ DOS CAMPOS;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3550308;SÃO PAULO;SÃO PAULO;METROPOLITANA DE SÃO PAULO
3549953;SÃO LOURENÇO DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO
3550001;SÃO LUÍS DO PARAITINGA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA
3550100;SÃO MANUEL;BOTUCATU;BAURU
3550209;SÃO MIGUEL ARCANJO;PIEDADE;MACRO METROPOLITANA PAULISTA
3550605;SÃO ROQUE;SOROCABA;MACRO METROPOLITANA PAULISTA
3551009;SÃO VICENTE;SANTOS;METROPOLITANA DE SÃO PAULO
3551702;SERTÃOZINHO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3552106;SOCORRO;AMPARO;CAMPINAS
3550407;SÃO PEDRO;PIRACICABA;PIRACICABA
3550506;SÃO PEDRO DO TURVO;OURINHOS;ASSIS
3550704;SÃO SEBASTIÃO;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA
3550803;SÃO SEBASTIÃO DA GRAMA;SÃO JOÃO DA BOA VISTA;CAMPINAS
3550902;SÃO SIMÃO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3551108;SARAPUÍ;SOROCABA;MACRO METROPOLITANA PAULISTA
3551207;SARUTAIÁ;OURINHOS;ASSIS
3551306;SEBASTIANÓPOLIS DO SUL;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3551405;SERRA AZUL;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3551504;SERRANA;RIBEIRÃO PRETO;RIBEIRÃO PRETO
3551603;SERRA NEGRA;AMPARO;CAMPINAS
3551801;SETE BARRAS;REGISTRO;LITORAL SUL PAULISTA
3551900;SEVERÍNIA;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3552007;SILVEIRAS;BANANAL;VALE DO PARAÍBA PAULISTA
3552205;SOROCABA;SOROCABA;MACRO METROPOLITANA PAULISTA
3552304;SUD MENNUCCI;ANDRADINA;ARAÇATUBA
3552403;SUMARÉ;CAMPINAS;CAMPINAS
3552502;SUZANO;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO
3552551;SUZANÁPOLIS;ANDRADINA;ARAÇATUBA
3552809;TABOÃO DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO
3552908;TACIBA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3553708;TAQUARITINGA;JABOTICABAL;RIBEIRÃO PRETO
3552601;TABAPUÃ;CATANDUVA;SÃO JOSÉ DO RIO PRETO
3552700;TABATINGA;ARARAQUARA;ARARAQUARA
3553005;TAGUAÍ;OURINHOS;ASSIS
3553104;TAIAÇU;JABOTICABAL;RIBEIRÃO PRETO
3553203;TAIÚVA;JABOTICABAL;RIBEIRÃO PRETO
3553302;TAMBAÚ;SÃO JOÃO DA BOA VISTA;CAMPINAS
3553401;TANABI;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3553500;TAPIRAÍ;PIEDADE;MACRO METROPOLITANA PAULISTA
3553609;TAPIRATIBA;SÃO JOÃO DA BOA VISTA;CAMPINAS
3553658;TAQUARAL;JABOTICABAL;RIBEIRÃO PRETO
3553807;TAQUARITUBA;ITAPEVA;ITAPETININGA
3553856;TAQUARIVAÍ;ITAPEVA;ITAPETININGA
3553906;TARABAI;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3553955;TARUMÃ;ASSIS;ASSIS
3554003;TATUÍ;TATUÍ;ITAPETININGA
3554102;TAUBATÉ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3555406;UBATUBA;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA
3554201;TEJUPÁ;OURINHOS;ASSIS
3554300;TEODORO SAMPAIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE
3554409;TERRA ROXA;JABOTICABAL;RIBEIRÃO PRETO
3554508;TIETÊ;PIRACICABA;PIRACICABA
3554607;TIMBURI;OURINHOS;ASSIS
3554656;TORRE DE PEDRA;TATUÍ;ITAPETININGA
3554706;TORRINHA;RIO CLARO;PIRACICABA
3554755;TRABIJU;ARARAQUARA;ARARAQUARA
3554805;TREMEMBÉ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA
3554904;TRÊS FRONTEIRAS;JALES;SÃO JOSÉ DO RIO PRETO
3554953;TUIUTI;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3555000;TUPÃ;TUPÃ;MARÍLIA
3555109;TUPI PAULISTA;DRACENA;PRESIDENTE PRUDENTE
3555208;TURIÚBA;BIRIGUI;ARAÇATUBA
3555307;TURMALINA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO
3555356;UBARANA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3555505;UBIRAJARA;BAURU;BAURU
3555604;UCHOA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3555703;UNIÃO PAULISTA;NHANDEARA;SÃO JOSÉ DO RIO PRETO
3555802;URÂNIA;JALES;SÃO JOSÉ DO RIO PRETO
3555901;URU;BAURU;BAURU
3556008;URUPÊS;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO
3556107;VALENTIM GENTIL;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3556206;VALINHOS;CAMPINAS;CAMPINAS
3556305;VALPARAÍSO;ARAÇATUBA;ARAÇATUBA
3556354;VARGEM;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA
3556404;VARGEM GRANDE DO SUL;SÃO JOÃO DA BOA VISTA;CAMPINAS
3556453;VARGEM GRANDE PAULISTA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO
3556503;VÁRZEA PAULISTA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA
3556602;VERA CRUZ;MARÍLIA;MARÍLIA
3556701;VINHEDO;CAMPINAS;CAMPINAS
3556800;VIRADOURO;JABOTICABAL;RIBEIRÃO PRETO
3556909;VISTA ALEGRE DO ALTO;JABOTICABAL;RIBEIRÃO PRETO
3556958;VITÓRIA BRASIL;JALES;SÃO JOSÉ DO RIO PRETO
3557006;VOTORANTIM;SOROCABA;MACRO METROPOLITANA PAULISTA
3557105;VOTUPORANGA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO
3557154;ZACARIAS;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO
3557204;CHAVANTES;OURINHOS;ASSIS
3557303;ESTIVA GERBI;MOGI MIRIM;CAMPINAS
