Município;NM_MUNICIP;NM_MICRO;NM_MESO;CD_GEOCODM
Monte Mor;MONTE MOR;CAMPINAS;CAMPINAS;3531803
Monteiro Lobato;MONTEIRO LOBATO;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA;3531704
Morro Agudo;MORRO AGUDO;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3531902
Morungaba;MORUNGABA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3532009
Motuca;MOTUCA;ARARAQUARA;ARARAQUARA;3532058
Murutinga do Sul;MURUTINGA DO SUL;ANDRADINA;ARAÇATUBA;3532108
Nantes;NANTES;ASSIS;ASSIS;3532157
Narandiba;NARANDIBA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3532207
Natividade da Serra;NATIVIDADE DA SERRA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3532306
Nazaré Paulista;NAZARÉ PAULISTA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3532405
Neves Paulista;NEVES PAULISTA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3532504
Nhandeara;NHANDEARA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3532603
Nipoã;NIPOÃ;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3532702
Nova Aliança;NOVA ALIANÇA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3532801
Nova Campina;NOVA CAMPINA;ITAPEVA;ITAPETININGA;3532827
Nova Canaã Paulista;NOVA CANAÃ PAULISTA;JALES;SÃO JOSÉ DO RIO PRETO;3532843
Nova Castilho;NOVA CASTILHO;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3532868
Nova Europa;NOVA EUROPA;ARARAQUARA;ARARAQUARA;3532900
Nova Granada;NOVA GRANADA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3533007
Nova Guataporanga;NOVA GUATAPORANGA;DRACENA;PRESIDENTE PRUDENTE;3533106
Nova Independência;NOVA INDEPENDÊNCIA;ANDRADINA;ARAÇATUBA;3533205
Nova Luzitânia;NOVA LUZITÂNIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3533304
Nova Odessa;NOVA ODESSA;CAMPINAS;CAMPINAS;3533403
Novais;NOVAIS;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3533254
Novo Horizonte;NOVO HORIZONTE;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3533502
Nuporanga;NUPORANGA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3533601
Ocauçu;OCAUÇU;MARÍLIA;MARÍLIA;3533700
Óleo;ÓLEO;OURINHOS;ASSIS;3533809
Olímpia;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3533908
Onda Verde;ONDA VERDE;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3534005
Oriente;ORIENTE;MARÍLIA;MARÍLIA;3534104
Orindiúva;ORINDIÚVA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3534203
Orlândia;ORLÂNDIA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3534302
Osasco;OSASCO;OSASCO;METROPOLITANA DE SÃO PAULO;3534401
Oscar Bressane;OSCAR BRESSANE;MARÍLIA;MARÍLIA;3534500
Osvaldo Cruz;OSVALDO CRUZ;ADAMANTINA;PRESIDENTE PRUDENTE;3534609
Ourinhos;OURINHOS;OURINHOS;ASSIS;3534708
Ouro Verde;OURO VERDE;DRACENA;PRESIDENTE PRUDENTE;3534807
Ouroeste;OUROESTE;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3534757
Pacaembu;PACAEMBU;ADAMANTINA;PRESIDENTE PRUDENTE;3534906
Palestina;PALESTINA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3535002
Palmares Paulista;PALMARES PAULISTA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3535101
Palmeira d'Oeste;PALMEIRA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO;3535200
Palmital;PALMITAL;ASSIS;ASSIS;3535309
Panorama;PANORAMA;DRACENA;PRESIDENTE PRUDENTE;3535408
Paraguaçu Paulista;PARAGUAÇU PAULISTA;ASSIS;ASSIS;3535507
Paraibuna;PARAIBUNA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3535606
Paraíso;PARAÍSO;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3535705
Paranapanema;PARANAPANEMA;AVARÉ;BAURU;3535804
Paranapuã;PARANAPUÃ;JALES;SÃO JOSÉ DO RIO PRETO;3535903
Parapuã;PARAPUÃ;ADAMANTINA;PRESIDENTE PRUDENTE;3536000
Pardinho;PARDINHO;BOTUCATU;BAURU;3536109
Pariquera-Açu;PARIQUERA-AÇU;REGISTRO;LITORAL SUL PAULISTA;3536208
Parisi;PARISI;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3536257
Patrocínio Paulista;PATROCÍNIO PAULISTA;FRANCA;RIBEIRÃO PRETO;3536307
Paulicéia;PAULICÉIA;DRACENA;PRESIDENTE PRUDENTE;3536406
Paulínia;PAULÍNIA;CAMPINAS;CAMPINAS;3536505
Paulistânia;PAULISTÂNIA;BAURU;BAURU;3536570
Paulo de Faria;PAULO DE FARIA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3536604
Pederneiras;PEDERNEIRAS;JAÚ;BAURU;3536703
Pedra Bela;PEDRA BELA;AMPARO;CAMPINAS;3536802
Pedranópolis;PEDRANÓPOLIS;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3536901
Pedregulho;PEDREGULHO;FRANCA;RIBEIRÃO PRETO;3537008
Pedreira;PEDREIRA;CAMPINAS;CAMPINAS;3537107
Pedrinhas Paulista;PEDRINHAS PAULISTA;ASSIS;ASSIS;3537156
Pedro de Toledo;PEDRO DE TOLEDO;ITANHAÉM;LITORAL SUL PAULISTA;3537206
Penápolis;PENÁPOLIS;BIRIGUI;ARAÇATUBA;3537305
Pereira Barreto;PEREIRA BARRETO;ANDRADINA;ARAÇATUBA;3537404
Pereiras;PEREIRAS;TATUÍ;ITAPETININGA;3537503
Peruíbe;PERUÍBE;ITANHAÉM;LITORAL SUL PAULISTA;3537602
Piacatu;PIACATU;BIRIGUI;ARAÇATUBA;3537701
Piedade;PIEDADE;PIEDADE;MACRO METROPOLITANA PAULISTA;3537800
Pilar do Sul;PILAR DO SUL;PIEDADE;MACRO METROPOLITANA PAULISTA;3537909
Pindamonhangaba;PINDAMONHANGABA;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3538006
Pindorama;PINDORAMA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3538105
Pinhalzinho;PINHALZINHO;AMPARO;CAMPINAS;3538204
Piquerobi;PIQUEROBI;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3538303
Piquete;PIQUETE;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3538501
Piracaia;PIRACAIA;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3538600
Piracicaba;PIRACICABA;PIRACICABA;PIRACICABA;3538709
Piraju;PIRAJU;OURINHOS;ASSIS;3538808
Pirajuí;PIRAJUÍ;BAURU;BAURU;3538907
Pirangi;PIRANGI;JABOTICABAL;RIBEIRÃO PRETO;3539004
Pirapora do Bom Jesus;PIRAPORA DO BOM JESUS;OSASCO;METROPOLITANA DE SÃO PAULO;3539103
Pirapozinho;PIRAPOZINHO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3539202
Pirassununga;PIRASSUNUNGA;PIRAÇUNUNGA;CAMPINAS;3539301
Piratininga;PIRATININGA;BAURU;BAURU;3539400
Pitangueiras;PITANGUEIRAS;JABOTICABAL;RIBEIRÃO PRETO;3539509
Planalto;PLANALTO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3539608
Platina;PLATINA;ASSIS;ASSIS;3539707
Poá;POÁ;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3539806
Poloni;POLONI;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3539905
Pompéia;POMPÉIA;MARÍLIA;MARÍLIA;3540002
Pongaí;PONGAÍ;BAURU;BAURU;3540101
Pontal;PONTAL;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3540200
Pontalinda;PONTALINDA;JALES;SÃO JOSÉ DO RIO PRETO;3540259
Pontes Gestal;PONTES GESTAL;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3540309
Populina;POPULINA;JALES;SÃO JOSÉ DO RIO PRETO;3540408
Porangaba;PORANGABA;TATUÍ;ITAPETININGA;3540507
Porto Feliz;PORTO FELIZ;SOROCABA;MACRO METROPOLITANA PAULISTA;3540606
Porto Ferreira;PORTO FERREIRA;PIRAÇUNUNGA;CAMPINAS;3540705
Potim;POTIM;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3540754
Potirendaba;POTIRENDABA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3540804
Pracinha;PRACINHA;ADAMANTINA;PRESIDENTE PRUDENTE;3540853
Pradópolis;PRADÓPOLIS;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3540903
Praia Grande;PRAIA GRANDE;SANTOS;METROPOLITANA DE SÃO PAULO;3541000
Pratânia;PRATÂNIA;BOTUCATU;BAURU;3541059
Presidente Alves;PRESIDENTE ALVES;BAURU;BAURU;3541109
Presidente Bernardes;PRESIDENTE BERNARDES;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3541208
Presidente Epitácio;PRESIDENTE EPITÁCIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3541307
Presidente Prudente;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3541406
Presidente Venceslau;PRESIDENTE VENCESLAU;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3541505
Promissão;PROMISSÃO;LINS;BAURU;3541604
Quadra;QUADRA;TATUÍ;ITAPETININGA;3541653
Quatá;QUATÁ;ASSIS;ASSIS;3541703
Queiroz;QUEIROZ;TUPÃ;MARÍLIA;3541802
Queluz;QUELUZ;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3541901
Quintana;QUINTANA;TUPÃ;MARÍLIA;3542008
Rafard;RAFARD;PIRACICABA;PIRACICABA;3542107
Rancharia;RANCHARIA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3542206
Redenção da Serra;REDENÇÃO DA SERRA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3542305
Regente Feijó;REGENTE FEIJÓ;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3542404
Reginópolis;REGINÓPOLIS;BAURU;BAURU;3542503
Registro;REGISTRO;REGISTRO;LITORAL SUL PAULISTA;3542602
Restinga;RESTINGA;FRANCA;RIBEIRÃO PRETO;3542701
Ribeira;RIBEIRA;CAPÃO BONITO;ITAPETININGA;3542800
Ribeirão Bonito;RIBEIRÃO BONITO;SÃO CARLOS;ARARAQUARA;3542909
Ribeirão Branco;RIBEIRÃO BRANCO;CAPÃO BONITO;ITAPETININGA;3543006
Ribeirão Corrente;RIBEIRÃO CORRENTE;FRANCA;RIBEIRÃO PRETO;3543105
Ribeirão do Sul;RIBEIRÃO DO SUL;OURINHOS;ASSIS;3543204
Ribeirão dos Índios;RIBEIRÃO DOS ÍNDIOS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3543238
Ribeirão Grande;RIBEIRÃO GRANDE;CAPÃO BONITO;ITAPETININGA;3543253
Ribeirão Pires;RIBEIRÃO PIRES;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3543303
Ribeirão Preto;RIBEIRÃO PRETO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3543402
Rifaina;RIFAINA;FRANCA;RIBEIRÃO PRETO;3543600
Rincão;RINCÃO;ARARAQUARA;ARARAQUARA;3543709
Rinópolis;RINÓPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE;3543808
Rio Claro;RIO CLARO;RIO CLARO;PIRACICABA;3543907
Rio das Pedras;RIO DAS PEDRAS;PIRACICABA;PIRACICABA;3544004
Rio Grande da Serra;RIO GRANDE DA SERRA;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3544103
Riolândia;RIOLÂNDIA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3544202
Riversul;RIVERSUL;ITAPEVA;ITAPETININGA;3543501
Rosana;ROSANA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3544251
Roseira;ROSEIRA;GUARATINGUETÁ;VALE DO PARAÍBA PAULISTA;3544301
Rubiácea;RUBIÁCEA;ARAÇATUBA;ARAÇATUBA;3544400
Rubinéia;RUBINÉIA;JALES;SÃO JOSÉ DO RIO PRETO;3544509
Sabino;SABINO;LINS;BAURU;3544608
Sagres;SAGRES;ADAMANTINA;PRESIDENTE PRUDENTE;3544707
Sales;SALES;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3544806
Sales Oliveira;SALES OLIVEIRA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3544905
Salesópolis;SALESÓPOLIS;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3545001
Salmourão;SALMOURÃO;ADAMANTINA;PRESIDENTE PRUDENTE;3545100
Saltinho;SALTINHO;PIRACICABA;PIRACICABA;3545159
Salto;SALTO;SOROCABA;MACRO METROPOLITANA PAULISTA;3545209
Salto de Pirapora;SALTO DE PIRAPORA;SOROCABA;MACRO METROPOLITANA PAULISTA;3545308
Salto Grande;SALTO GRANDE;OURINHOS;ASSIS;3545407
Sandovalina;SANDOVALINA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3545506
Santa Adélia;SANTA ADÉLIA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3545605
Santa Albertina;SANTA ALBERTINA;JALES;SÃO JOSÉ DO RIO PRETO;3545704
Santa Bárbara d'Oeste;SANTA BÁRBARA D'OESTE;CAMPINAS;CAMPINAS;3545803
Santa Branca;SANTA BRANCA;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3546009
Santa Clara d'Oeste;SANTA CLARA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO;3546108
Santa Cruz da Conceição;SANTA CRUZ DA CONCEIÇÃO;LIMEIRA;PIRACICABA;3546207
Santa Cruz da Esperança;SANTA CRUZ DA ESPERANÇA;BATATAIS;RIBEIRÃO PRETO;3546256
Santa Cruz das Palmeiras;SANTA CRUZ DAS PALMEIRAS;PIRAÇUNUNGA;CAMPINAS;3546306
Santa Cruz do Rio Pardo;SANTA CRUZ DO RIO PARDO;OURINHOS;ASSIS;3546405
Santa Ernestina;SANTA ERNESTINA;JABOTICABAL;RIBEIRÃO PRETO;3546504
Santa Fé do Sul;SANTA FÉ DO SUL;JALES;SÃO JOSÉ DO RIO PRETO;3546603
Santa Gertrudes;SANTA GERTRUDES;LIMEIRA;PIRACICABA;3546702
Santa Isabel;SANTA ISABEL;GUARULHOS;METROPOLITANA DE SÃO PAULO;3546801
Santa Lúcia;SANTA LÚCIA;ARARAQUARA;ARARAQUARA;3546900
Santa Maria da Serra;SANTA MARIA DA SERRA;PIRACICABA;PIRACICABA;3547007
Santa Mercedes;SANTA MERCEDES;DRACENA;PRESIDENTE PRUDENTE;3547106
Santa Rita do Passa Quatro;SANTA RITA DO PASSA QUATRO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3547502
Santa Rita D'Oeste;SANTA RITA D'OESTE;JALES;SÃO JOSÉ DO RIO PRETO;3547403
Santa Rosa de Viterbo;SANTA ROSA DE VITERBO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3547601
Santa Salete;SANTA SALETE;JALES;SÃO JOSÉ DO RIO PRETO;3547650
Santana da Ponte Pensa;SANTANA DA PONTE PENSA;JALES;SÃO JOSÉ DO RIO PRETO;3547205
Santana de Parnaíba;SANTANA DE PARNAÍBA;OSASCO;METROPOLITANA DE SÃO PAULO;3547304
Santo Anastácio;SANTO ANASTÁCIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3547700
Santo André;SANTO ANDRÉ;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3547809
Santo Antônio da Alegria;SANTO ANTÔNIO DA ALEGRIA;BATATAIS;RIBEIRÃO PRETO;3547908
Santo Antônio de Posse;SANTO ANTÔNIO DE POSSE;MOGI MIRIM;CAMPINAS;3548005
Santo Antônio do Aracanguá;SANTO ANTÔNIO DO ARACANGUÁ;ARAÇATUBA;ARAÇATUBA;3548054
Santo Antônio do Jardim;SANTO ANTÔNIO DO JARDIM;SÃO JOÃO DA BOA VISTA;CAMPINAS;3548104
Santo Antônio do Pinhal;SANTO ANTÔNIO DO PINHAL;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA;3548203
Santo Expedito;SANTO EXPEDITO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3548302
Santópolis do Aguapeí;SANTÓPOLIS DO AGUAPEÍ;BIRIGUI;ARAÇATUBA;3548401
Santos;SANTOS;SANTOS;METROPOLITANA DE SÃO PAULO;3548500
São Bento do Sapucaí;SÃO BENTO DO SAPUCAÍ;CAMPOS DO JORDÃO;VALE DO PARAÍBA PAULISTA;3548609
São Bernardo do Campo;SÃO BERNARDO DO CAMPO;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3548708
São Caetano do Sul;SÃO CAETANO DO SUL;GRANDE ABC;METROPOLITANA DE SÃO PAULO;3548807
São Carlos;SÃO CARLOS;SÃO CARLOS;ARARAQUARA;3548906
São Francisco;SÃO FRANCISCO;JALES;SÃO JOSÉ DO RIO PRETO;3549003
São João da Boa Vista;SÃO JOÃO DA BOA VISTA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3549102
São João das Duas Pontes;SÃO JOÃO DAS DUAS PONTES;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3549201
São João de Iracema;SÃO JOÃO DE IRACEMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;3549250
São João do Pau D'Alho;SÃO JOÃO DO PAU D'ALHO;DRACENA;PRESIDENTE PRUDENTE;3549300
São Joaquim da Barra;SÃO JOAQUIM DA BARRA;SÃO JOAQUIM DA BARRA;RIBEIRÃO PRETO;3549409
São José da Bela Vista;SÃO JOSÉ DA BELA VISTA;FRANCA;RIBEIRÃO PRETO;3549508
São José do Barreiro;SÃO JOSÉ DO BARREIRO;BANANAL;VALE DO PARAÍBA PAULISTA;3549607
São José do Rio Pardo;SÃO JOSÉ DO RIO PARDO;SÃO JOÃO DA BOA VISTA;CAMPINAS;3549706
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3549805
São José dos Campos;SÃO JOSÉ DOS CAMPOS;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3549904
São Lourenço da Serra;SÃO LOURENÇO DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3549953
São Luís do Paraitinga;SÃO LUÍS DO PARAITINGA;PARAIBUNA/PARAITINGA;VALE DO PARAÍBA PAULISTA;3550001
São Manuel;SÃO MANUEL;BOTUCATU;BAURU;3550100
São Miguel Arcanjo;SÃO MIGUEL ARCANJO;PIEDADE;MACRO METROPOLITANA PAULISTA;3550209
São Paulo;SÃO PAULO;SÃO PAULO;METROPOLITANA DE SÃO PAULO;3550308
São Pedro;SÃO PEDRO;PIRACICABA;PIRACICABA;3550407
São Pedro do Turvo;SÃO PEDRO DO TURVO;OURINHOS;ASSIS;3550506
São Roque;SÃO ROQUE;SOROCABA;MACRO METROPOLITANA PAULISTA;3550605
São Sebastião;SÃO SEBASTIÃO;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA;3550704
São Sebastião da Grama;SÃO SEBASTIÃO DA GRAMA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3550803
São Simão;SÃO SIMÃO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3550902
São Vicente;SÃO VICENTE;SANTOS;METROPOLITANA DE SÃO PAULO;3551009
Sarapuí;SARAPUÍ;SOROCABA;MACRO METROPOLITANA PAULISTA;3551108
Sarutaiá;SARUTAIÁ;OURINHOS;ASSIS;3551207
Sebastianópolis do Sul;SEBASTIANÓPOLIS DO SUL;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3551306
Serra Azul;SERRA AZUL;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3551405
Serra Negra;SERRA NEGRA;AMPARO;CAMPINAS;3551603
Serrana;SERRANA;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3551504
Sertãozinho;SERTÃOZINHO;RIBEIRÃO PRETO;RIBEIRÃO PRETO;3551702
Sete Barras;SETE BARRAS;REGISTRO;LITORAL SUL PAULISTA;3551801
Severínia;SEVERÍNIA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3551900
Silveiras;SILVEIRAS;BANANAL;VALE DO PARAÍBA PAULISTA;3552007
Socorro;SOCORRO;AMPARO;CAMPINAS;3552106
Sorocaba;SOROCABA;SOROCABA;MACRO METROPOLITANA PAULISTA;3552205
Sud Mennucci;SUD MENNUCCI;ANDRADINA;ARAÇATUBA;3552304
Sumaré;SUMARÉ;CAMPINAS;CAMPINAS;3552403
Suzanápolis;SUZANÁPOLIS;ANDRADINA;ARAÇATUBA;3552551
Suzano;SUZANO;MOGI DAS CRUZES;METROPOLITANA DE SÃO PAULO;3552502
Tabapuã;TABAPUÃ;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3552601
Tabatinga;TABATINGA;ARARAQUARA;ARARAQUARA;3552700
Taboão da Serra;TABOÃO DA SERRA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3552809
Taciba;TACIBA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3552908
Taguaí;TAGUAÍ;OURINHOS;ASSIS;3553005
Taiaçu;TAIAÇU;JABOTICABAL;RIBEIRÃO PRETO;3553104
Taiúva;TAIÚVA;JABOTICABAL;RIBEIRÃO PRETO;3553203
Tambaú;TAMBAÚ;SÃO JOÃO DA BOA VISTA;CAMPINAS;3553302
Tanabi;TANABI;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3553401
Tapiraí;TAPIRAÍ;PIEDADE;MACRO METROPOLITANA PAULISTA;3553500
Tapiratiba;TAPIRATIBA;SÃO JOÃO DA BOA VISTA;CAMPINAS;3553609
Taquaral;TAQUARAL;JABOTICABAL;RIBEIRÃO PRETO;3553658
Taquaritinga;TAQUARITINGA;JABOTICABAL;RIBEIRÃO PRETO;3553708
Taquarituba;TAQUARITUBA;ITAPEVA;ITAPETININGA;3553807
Taquarivaí;TAQUARIVAÍ;ITAPEVA;ITAPETININGA;3553856
Tarabai;TARABAI;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3553906
Tarumã;TARUMÃ;ASSIS;ASSIS;3553955
Tatuí;TATUÍ;TATUÍ;ITAPETININGA;3554003
Taubaté;TAUBATÉ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3554102
Tejupá;TEJUPÁ;OURINHOS;ASSIS;3554201
Teodoro Sampaio;TEODORO SAMPAIO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3554300
Terra Roxa;TERRA ROXA;JABOTICABAL;RIBEIRÃO PRETO;3554409
Tietê;TIETÊ;PIRACICABA;PIRACICABA;3554508
Timburi;TIMBURI;OURINHOS;ASSIS;3554607
Torre de Pedra;TORRE DE PEDRA;TATUÍ;ITAPETININGA;3554656
Torrinha;TORRINHA;RIO CLARO;PIRACICABA;3554706
Trabiju;TRABIJU;ARARAQUARA;ARARAQUARA;3554755
Tremembé;TREMEMBÉ;SÃO JOSÉ DOS CAMPOS;VALE DO PARAÍBA PAULISTA;3554805
Três Fronteiras;TRÊS FRONTEIRAS;JALES;SÃO JOSÉ DO RIO PRETO;3554904
Tuiuti;TUIUTI;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3554953
Tupã;TUPÃ;TUPÃ;MARÍLIA;3555000
Tupi Paulista;TUPI PAULISTA;DRACENA;PRESIDENTE PRUDENTE;3555109
Turiúba;TURIÚBA;BIRIGUI;ARAÇATUBA;3555208
Turmalina;TURMALINA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3555307
Ubarana;UBARANA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3555356
Ubatuba;UBATUBA;CARAGUATATUBA;VALE DO PARAÍBA PAULISTA;3555406
Ubirajara;UBIRAJARA;BAURU;BAURU;3555505
Uchoa;UCHOA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3555604
União Paulista;UNIÃO PAULISTA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3555703
Urânia;URÂNIA;JALES;SÃO JOSÉ DO RIO PRETO;3555802
Uru;URU;BAURU;BAURU;3555901
Urupês;URUPÊS;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;3556008
Valentim Gentil;VALENTIM GENTIL;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3556107
Valinhos;VALINHOS;CAMPINAS;CAMPINAS;3556206
Valparaíso;VALPARAÍSO;ARAÇATUBA;ARAÇATUBA;3556305
Vargem;VARGEM;BRAGANÇA PAULISTA;MACRO METROPOLITANA PAULISTA;3556354
Vargem Grande do Sul;VARGEM GRANDE DO SUL;SÃO JOÃO DA BOA VISTA;CAMPINAS;3556404
Vargem Grande Paulista;VARGEM GRANDE PAULISTA;ITAPECERICA DA SERRA;METROPOLITANA DE SÃO PAULO;3556453
Várzea Paulista;VÁRZEA PAULISTA;JUNDIAÍ;MACRO METROPOLITANA PAULISTA;3556503
Vera Cruz;VERA CRUZ;MARÍLIA;MARÍLIA;3556602
Vinhedo;VINHEDO;CAMPINAS;CAMPINAS;3556701
Viradouro;VIRADOURO;JABOTICABAL;RIBEIRÃO PRETO;3556800
Vista Alegre do Alto;VISTA ALEGRE DO ALTO;JABOTICABAL;RIBEIRÃO PRETO;3556909
Vitória Brasil;VITÓRIA BRASIL;JALES;SÃO JOSÉ DO RIO PRETO;3556958
Votorantim;VOTORANTIM;SOROCABA;MACRO METROPOLITANA PAULISTA;3557006
Votuporanga;VOTUPORANGA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3557105
Zacarias;ZACARIAS;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;3557154
